hgnc_symbol	affy_primeview
TAFA1	11728432_a_at
TAFA1	
ELN-AS1	
UQCR11	11757334_a_at
UQCR11	11716307_at
EGFR-AS1	
PRKAG2-AS1	
VEZT	
VEZT	11722570_a_at
VEZT	11744674_a_at
VEZT	11745241_a_at
VEZT	11722569_at
SELENOK	11718771_x_at
SELENOK	11718770_a_at
SELENOK	
TCF3	11717959_a_at
TCF3	11745937_a_at
TCF3	11755060_x_at
TCF3	11755059_s_at
TCF3	
HASPIN	11732400_x_at
SCAP	11717586_a_at
SCAP	11744812_x_at
SCAP	
SOCS3	11719217_a_at
SOCS3	11719218_at
RN7SL236P	
PGS1	
PGS1	11724793_s_at
PGS1	11748428_a_at
PGS1	11747580_a_at
PGS1	11724792_a_at
PGS1	11724794_a_at
IZUMO1R	11741904_at
NCOA1	
NCOA1	11721342_a_at
NCOA1	11721340_s_at
NCOA1	11721339_a_at
NCOA1	11728845_a_at
NCOA1	11721343_a_at
NCOA1	11721341_s_at
NCAPD3	
NCAPD3	11720550_a_at
RPS3AP2	
PTX4	11742288_at
TELO2	11752906_a_at
TELO2	11745493_a_at
TELO2	
RNVU1-30	
FAM91A2P	11719896_s_at
PDE4DIPP7	
RNU1-68P	
PRKAR1B-AS1	
H3C13	11742410_s_at
SNHG15	11757147_s_at
SNHG15	
H2BC19P	
H2BC20P	11760660_at
H2AC20	11759258_at
H2AC20	11715204_x_at
H2AC21	11715148_s_at
H2AC21	11759284_at
H2AC21	11715149_x_at
BOLA1	11759258_at
BOLA1	11715204_x_at
BOLA1	11720882_at
BOLA1	
SV2A	11719654_a_at
SV2A	11719655_at
SV2A	11719653_at
TMEM235	11741734_a_at
SHISA5	11737787_at
SHISA5	11756523_x_at
SHISA5	11751127_a_at
SHISA5	11737788_x_at
SHISA5	11756725_x_at
SHISA5	11751128_x_at
SHISA5	
NEK4P2	
RNASEH1P2	
SLC12A9-AS1	
CCDC144A	
CCDC144A	11735843_a_at
CCDC144A	11735845_x_at
CCDC144A	11734023_a_at
CCDC144A	11735844_s_at
CCDC144A	11734024_x_at
NSUN5P1	
NSUN5P1	11741696_x_at
NSUN5P1	11759708_s_at
NSUN5P1	11760031_s_at
NSUN5P1	11760911_s_at
NSUN5P1	11759709_x_at
NSUN5P1	11756589_x_at
NSUN5P1	11728517_x_at
NSUN5P1	11753901_x_at
CLCN7	11719181_a_at
CLCN7	11719182_a_at
CLCN7	
SF3B4	11724494_x_at
SF3B4	11724493_s_at
SF3B4	11744950_s_at
SF3B4	
FCGR1A	11736312_s_at
FCGR1A	11736311_x_at
FCGR1A	11762676_x_at
FCGR1A	
AIMP1P2	
MAP2	11733833_a_at
MAP2	
MAP2	11736559_a_at
MAP2	11733832_a_at
RPL34P6	
GPR25	11738099_at
MROH3P	
SBDSP1	11742794_s_at
SBDSP1	
RNU6-704P	
CCDC174	11722125_a_at
CCDC174	11722126_a_at
CCDC174	
KIF21B	11746514_a_at
KIF21B	11722095_a_at
KIF21B	
PPP1R9A-AS1	
PSMG3-AS1	
	11734023_a_at
	11737234_s_at
	11723726_s_at
	11734024_x_at
TP53TG1	11753903_a_at
TP53TG1	
RNU6-405P	
RN7SL620P	
UPF3AP1	11756131_a_at
UPF3AP1	11752884_x_at
UPF3AP1	11752883_s_at
UPF3AP1	11743078_a_at
UPF3AP1	11756340_x_at
USP32P1	
USP32P1	11737234_s_at
USP32P1	11756505_s_at
USP32P1	11723726_s_at
MUC20	11758003_s_at
MUC20	11727919_a_at
MUC20	11739397_a_at
MIR4747	
RNU6-1223P	11745937_a_at
FUT3	11739970_a_at
FUT3	11728007_x_at
FUT3	11728008_x_at
FUT3	
PMS2P1	
SRP68P1	
PHF7	11725296_a_at
PHF7	
FAM106C	
NOS2P4	
RN7SL150P	
KRT16P6	
SUNO1	
WDR88	
WDR88	11754744_a_at
KRT16P2	11748328_s_at
KRT16P2	11761224_x_at
KRT17P1	
KRT17P1	11761746_x_at
KRT17P4	11757241_at
KRT17P4	11757242_x_at
KRT17P4	
LRP3	
LRP3	11724853_at
LRP3	11724852_s_at
LRP3	11760655_x_at
LRP3	11760654_a_at
CES4A	11726482_x_at
CES4A	11747497_a_at
CES4A	11726481_a_at
CES4A	11750319_a_at
CES4A	11751014_x_at
CES4A	11761276_x_at
CES4A	
MDM2	11753688_a_at
MDM2	11753820_x_at
MDM2	11731567_a_at
MDM2	11731564_x_at
MDM2	11731566_a_at
MDM2	11753563_x_at
MDM2	11756046_x_at
MDM2	11753819_a_at
MDM2	11753689_x_at
MDM2	11731568_x_at
MDM2	11731565_x_at
MDM2	
COTL1P1	
	11724853_at
	11724852_s_at
SLC7A10	11733436_at
SLC7A10	
LINC01974	
GOSR2-DT	
RNU6ATAC3P	
GOSR2	11722437_a_at
GOSR2	11758870_x_at
GOSR2	11722435_at
GOSR2	11722436_a_at
GOSR2	
GOSR2	11729397_at
WDR6	11742709_s_at
WDR6	11715700_s_at
WDR6	11753166_a_at
WDR6	
CEBPA	11726294_s_at
C2orf81	11742458_a_at
C2orf81	
CEBPA-DT	
RPS3AP50	
LINC01004	
AKR1B1P7	
FAM126B	11728052_s_at
FAM126B	11728051_at
FAM126B	11728050_s_at
FAM126B	
CEBPG	11717693_at
CEBPG	11717694_a_at
LINC-PINT	
RPL21P131	
OAZ1	11755995_x_at
OAZ1	11751655_a_at
OAZ1	200077_PM_s_at
OAZ1	11756169_x_at
OAZ1	11753368_a_at
OAZ1	11753821_x_at
FAHD1	11724525_at
FAHD1	11724527_x_at
FAHD1	11724526_at
FAHD1	11738655_a_at
TMEM9	11733835_a_at
TMEM9	11748012_x_at
TMEM9	11753625_a_at
TMEM9	11748011_a_at
NUDT16L1	11758034_s_at
NUDT16L1	11717325_at
LITAFD	
PRSS41	11743215_at
TP53TG3B	11732659_s_at
TP53TG3B	11757077_s_at
TP53TG3B	11746546_s_at
TP53TG3B	11753203_s_at
STAG3L4	11726026_a_at
STAG3L4	11726027_x_at
STAG3L4	11726025_at
STAG3L4	
TKT	11756952_a_at
TKT	11754945_x_at
TKT	11719934_a_at
TKT	
	11759790_at
TP53TG3C	11732659_s_at
TP53TG3C	11757077_s_at
TP53TG3C	11746546_s_at
TP53TG3C	11753203_s_at
PEAK3	11740849_at
PEAK3	11740850_x_at
	11762946_at
PROC	
PROC	11745349_a_at
PROC	11743844_a_at
LINGO3	11740914_at
TP53TG3D	11732659_s_at
TP53TG3D	11757077_s_at
TP53TG3D	11746546_s_at
TP53TG3D	11753203_s_at
PRODH2	11727763_a_at
PRODH2	
MAGI2-AS3	
TP53TG3E	11732659_s_at
TP53TG3E	11757077_s_at
TP53TG3E	11746546_s_at
TP53TG3E	11753203_s_at
DHCR7	
DHCR7	11743808_a_at
NPIPB5	11744830_x_at
NPIPB5	
NPIPB5	11746592_s_at
NPIPB5	11746110_x_at
PET100	
IGFN1	11731279_a_at
IGFN1	11731280_x_at
IGFN1	
STXBP2	11718409_a_at
STXBP2	
MIR4783	
IWS1	11717669_a_at
IWS1	
ABHD14A	11723542_a_at
ABHD14A	
NPIPA7	11759716_x_at
PRSS53	11729558_a_at
PRSS53	
CACNA1S	11731808_at
CACNA1S	
PMS2P4	11740908_x_at
PMS2P4	
CHST13	11745690_a_at
CHST13	11730536_at
PABPN1L	11762814_x_at
PABPN1L	11742634_a_at
PABPN1L	11761919_x_at
PABPN1L	11762813_a_at
CIP2A	11737795_a_at
CIP2A	11737796_a_at
CIP2A	
LIMS2	11754851_x_at
LIMS2	11744742_x_at
LIMS2	11749335_x_at
LIMS2	11749215_x_at
LIMS2	11754367_x_at
LIMS2	
TP53TG3	11732659_s_at
TP53TG3	11757077_s_at
TP53TG3	11746546_s_at
TP53TG3	11753203_s_at
NPIPA8	11724355_x_at
NPIPA8	11725732_x_at
NPIPA8	11759716_x_at
NPIPA8	11746110_x_at
CPHXL2	
	11722436_a_at
DOK4	11756377_s_at
DOK4	11718822_a_at
DOK4	
MIR5089	
RPRML	11737363_at
LRRC37A17P	
LRRC37A17P	11729372_s_at
PEPD	11715957_s_at
PEPD	
RN7SL270P	
CRBN	11721434_a_at
CRBN	11748834_a_at
CRBN	11721433_a_at
CRBN	
CDC27	11743402_at
CDC27	11743403_a_at
CDC27	11752920_a_at
CDC27	11743401_x_at
CDC27	11743400_s_at
CDC27	
PDGFA-DT	
NFE4	
APTR	
PTPRN2-AS1	
FOXRED1	11748785_s_at
FOXRED1	11754568_s_at
FOXRED1	
FOXRED1	11762185_at
MUC12-AS1	
COBL	11746693_a_at
COBL	11726904_a_at
COBL	11749194_a_at
COBL	11762517_at
COBL	11759949_at
COBL	
NEDD8P1	11762345_x_at
NEDD8P1	11715968_s_at
SAMD13	11726444_a_at
SAMD13	
LINC02005	
NPIPB2	
NPIPB2	11746592_s_at
NPIPB2	11746110_x_at
LINC02047	
	11763146_at
AKR1B1P2	
CNTN3	11730073_at
CNTN3	11730072_at
TSPAN4	11740526_x_at
TSPAN4	11716997_x_at
TSPAN4	11716996_a_at
TSPAN4	11740991_a_at
TSPAN4	
	11726444_a_at
TP53TG3F	11732659_s_at
TP53TG3F	11757077_s_at
TP53TG3F	11746546_s_at
TP53TG3F	11753203_s_at
UOX	
NPIPB7	11752420_x_at
	11757943_s_at
	11738447_a_at
RNA5SP75	
NQO1	
NQO1	11717568_s_at
NQO1	11717567_a_at
TMEM81	11726958_at
NIPA2P2	
MTR	11756051_a_at
MTR	11751974_a_at
MTR	11739412_a_at
MTR	11751961_s_at
MTR	11739413_at
MTR	
RN7SL294P	
MIR4444-2	
HNRNPA3P6	
MYLKP1	
KRTAP4-3	11738795_at
KRTAP4-2	11742162_at
KRTAP4-1	11738427_at
LEKR1	
LEKR1	11737697_at
KRTAP4-17P	
KRTAP9-1	
KRTAP9-8	11741837_x_at
PPM1E	11731187_at
PPM1E	11731185_at
PPM1E	11731186_a_at
OR6C1	11738716_at
ACSM4	11741930_at
ACSM4	
ADPRH	11751283_a_at
ADPRH	11756143_s_at
ADPRH	11756142_a_at
ADPRH	
RAD51C	11724062_a_at
RAD51C	11761884_at
RAD51C	11750293_a_at
RAD51C	11732520_a_at
NQO1-DT	
	11764267_at
ACACB	11750636_a_at
ACACB	11720885_at
ACACB	11744991_a_at
ACACB	
NOB1	11732545_s_at
NOB1	
RNU6-1304P	
RPL7L1P2	
SRP9	11753597_s_at
CICP17	
CYP3A7-CYP3A51P	
CYP3A7-CYP3A51P	11762698_at
CYP3A7-CYP3A51P	11762699_x_at
CYP3A7-CYP3A51P	11741115_s_at
DNAH12	11732678_a_at
DNAH12	
DNAH12	11741767_x_at
LEFTY3P	
TMEM63A	11719289_a_at
TMEM63A	11719290_at
TMEM63A	11753303_a_at
TMEM63A	
OR2AE1	11738710_at
DUS4L-BCAP29	11722589_x_at
DUS4L-BCAP29	11722593_s_at
DUS4L-BCAP29	11722591_s_at
DUS4L-BCAP29	11727720_x_at
DUS4L-BCAP29	11727719_a_at
DUS4L-BCAP29	11722588_a_at
DUS4L-BCAP29	11722592_at
DUS4L-BCAP29	11727721_at
	11718414_s_at
	11725986_s_at
	11741668_x_at
	200057_PM_s_at
NFAT5	11757943_s_at
NFAT5	11717466_a_at
NFAT5	11738446_a_at
NFAT5	11738447_a_at
NFAT5	
BCAP29	11722589_x_at
BCAP29	11722590_s_at
BCAP29	11722588_a_at
BCAP29	11722593_s_at
BCAP29	11722591_s_at
BCAP29	11722592_at
BCAP29	
BCAP29	11727721_at
BCAP29	11762248_at
RNU6-288P	
ITIH3	
ITIH3	11742751_a_at
STRADA	
STRADA	11747297_a_at
STRADA	11748976_a_at
STRADA	11730563_a_at
FAM187B	11729974_at
FAM187B2P	
GPR17	11744725_a_at
GPR17	11738209_a_at
GPR17	11738210_x_at
LEFTY1	11755164_a_at
LEFTY1	
USF2	11754012_x_at
USF2	11730888_a_at
USF2	11749286_a_at
USF2	11730889_x_at
USF2	11718357_x_at
USF2	
	11745344_a_at
	11745345_x_at
	11755164_a_at
TAF10	200055_PM_at
TAF10	11719097_a_at
TAF10	11727057_a_at
MIR6741	11745344_a_at
MIR6741	11745345_x_at
LEFTY2	11756110_a_at
LEFTY2	11754665_x_at
LEFTY2	11751344_a_at
LEFTY2	
ALMS1	11743631_a_at
ALMS1	
NDUFA3P3	
EPHX1	11741065_a_at
EPHX1	
TMEM216	11717968_at
TMEM216	
SLC26A4-AS1	
CBLL1-AS1	
NECAP1P1	
GPR141	11743221_at
GPR141	
DENND2B	11747637_a_at
DENND2B	11749288_a_at
DENND2B	11754424_a_at
DENND2B	
	11747405_a_at
EPDR1	11739072_at
EPDR1	11747405_a_at
EPDR1	11739071_a_at
GPR141BP	
HDAC4	11750579_a_at
HDAC4	11750121_a_at
HDAC4	11752170_a_at
HDAC4	11743453_s_at
HDAC4	
HDAC4	11761998_a_at
HDAC4	11761999_s_at
TARDBP	
TARDBP	11715500_s_at
TARDBP	200020_PM_at
TARDBP	11756328_s_at
NME8	11732781_a_at
NME8	
POLR2H	11721282_a_at
POLR2H	
HAMP	11756126_x_at
HAMP	11759007_at
MIR6133	
MAG	
MAG	11734656_a_at
POU6F1	11755682_a_at
POU6F1	11725914_at
POU6F1	11725915_a_at
POU6F1	
COX5BP3	
RPS3AP27	
EXOC4	11733715_a_at
EXOC4	11733716_x_at
EXOC4	11718792_a_at
EXOC4	11718791_s_at
EXOC4	11761181_at
EXOC4	
CNOT10	11725063_a_at
CNOT10	11752721_a_at
CNOT10	
EIF2S3B	11719067_s_at
BLOC1S1	11716289_a_at
CA5A	11738372_at
CA5A	
CA5A	11738373_s_at
CLEC1B	11732904_a_at
SPEGNB	
SNRPEP5	
ID2	11746878_s_at
ID2	11715994_x_at
ID2	
H4-16	11741794_s_at
H4-16	
LINC02182	
C12orf42	
C12orf42	11731310_a_at
BANP	11749222_s_at
BANP	11740935_s_at
BANP	11747303_x_at
BANP	11739908_a_at
BANP	11753909_x_at
BANP	
MBOAT2	11730900_s_at
MBOAT2	11751377_a_at
MBOAT2	11730901_at
MBOAT2	
LSR	
LSR	11719463_a_at
SRM	11720927_a_at
SRM	11720928_at
SRM	
HMGB1P25	
KCNE4	11730357_at
KCNE4	11730356_at
KCNE4	
MST1	11756923_s_at
MST1	11721819_x_at
MST1	11746297_s_at
MST1	11761637_x_at
MST1	
KIDINS220	11750597_a_at
KIDINS220	11746232_a_at
KIDINS220	11745889_a_at
KIDINS220	11743331_a_at
KIDINS220	
EXOSC10	11747516_a_at
EXOSC10	11717510_a_at
EXOSC10	
TPM3P5	11715667_s_at
PLEKHA3P1	11727407_at
UTS2B	11737194_at
UTS2B	11737193_at
UTS2B	
RNA5SP428	
LINC00920	
MTOR-AS1	
	11760623_at
STX2	11743633_a_at
STX2	
BEAN1	11725599_at
BEAN1	
RNU6-537P	
SYF2	11739102_a_at
SYF2	11739101_a_at
SYF2	
CEACAM7	11728726_a_at
CEACAM7	11753653_a_at
USP7	11748350_a_at
USP7	11725060_s_at
USP7	11725062_at
USP7	11752485_a_at
USP7	11725061_a_at
USP7	
CEACAM5	11739039_x_at
CEACAM5	
CEACAM5	11739038_x_at
CEACAM5	11752106_x_at
RSRP1	11757896_s_at
RSRP1	11744503_x_at
RSRP1	11721441_x_at
RSRP1	11759602_a_at
RSRP1	11764057_s_at
RSRP1	
RNU6-1077P	
RAN	11758953_s_at
RAN	11726279_x_at
RAN	11753560_s_at
RAN	11763850_at
CEACAM6	
CEACAM6	11729153_at
CEACAM6	11729154_x_at
CEACAM6	11729155_at
CEACAM3	11762911_x_at
CEACAM3	11741997_x_at
CEACAM3	11761127_at
CEACAM3	
RHD	11761001_at
RHD	11744722_x_at
RHD	11761002_x_at
RHD	11741978_s_at
RHD	11740680_s_at
RHD	11742143_s_at
RHD	11742315_s_at
RHD	11741977_a_at
RHD	11750456_s_at
RHD	11736538_s_at
RHD	11752880_a_at
RHD	11737267_a_at
RHD	11737269_x_at
RHD	11741979_at
RHD	11737266_x_at
HNRNPA1P52	
SNORA6	11757119_at
LYPD4	11731982_a_at
SNORA62	11757305_x_at
SNORA62	11757128_at
NFU1P1	
MOBP	
MOBP	11747395_a_at
MOBP	11754855_a_at
MOBP	11753000_s_at
MOBP	11744781_at
MOBP	11744780_at
DMRTC2	11730557_s_at
DMRTC2	11747950_a_at
DMRTC2	
RPS19	11756327_x_at
RPS19	11744046_at
SBF2	11739476_a_at
SBF2	11739477_a_at
SBF2	11739478_s_at
SBF2	
MED12L	11752134_a_at
MED12L	11737091_a_at
MED12L	
RIMBP2	11731910_at
RIMBP2	
RIMBP2	11762399_a_at
MIR6797	
ERFL	
RABAC1	
RABAC1	11716287_at
YIPF4	11724222_at
YIPF4	11758900_x_at
YIPF4	11724223_at
YIPF4	
BIRC6-AS1	
MIR558	
BIRC6-AS2	
TTC27	
TTC27	11718142_a_at
	11716287_at
	11729578_x_at
	11729577_a_at
	11745200_a_at
ATP1A3	11729578_x_at
ATP1A3	11729577_a_at
ATP1A3	11745200_a_at
ATP1A3	
MIR4765	
LINC00486	
BOLA2	
BOLA2	11721525_s_at
	11747297_a_at
	11748976_a_at
	11730563_a_at
BOLA2-SMG1P6	11721525_s_at
BOLA2-SMG1P6	11745197_s_at
BOLA2-SMG1P6	11761130_x_at
CCDC47	11743728_a_at
CCDC47	11754718_a_at
CCDC47	11743729_at
CCDC47	
RXYLT1	11731709_a_at
RXYLT1	11752459_a_at
RXYLT1	
SETD2	11716192_a_at
SETD2	11716193_s_at
SETD2	11716194_a_at
SETD2	
NUTF2	11727433_s_at
NUTF2	11753758_x_at
NUTF2	11753757_a_at
NUTF2	11727432_a_at
NUTF2	11757599_x_at
NUTF2	11760220_at
NUTF2	11758981_a_at
NUTF2	11760219_at
RXYLT1-AS1	
PABPC1P4	
KDM2B-DT	
RSL1D1-DT	
MORN3	11733637_a_at
DDX42	
DDX42	11757400_s_at
DDX42	11727831_a_at
DDX42	11727832_s_at
	11746227_at
TMEM120B	11724664_a_at
TMEM120B	11724663_at
TMEM120B	
	11761163_at
SMG1P5	11745978_s_at
SMG1P5	
SMG1P5	11761130_x_at
SMG1P5	11745197_s_at
AFG3L1P	
RHOF	11746206_a_at
RHOF	11724562_x_at
RHOF	11724563_at
RHOF	
ASCL3	11742171_at
OR51F1	11742595_at
LINC01089	
FTSJ3	11719034_a_at
FTSJ3	11750693_a_at
FTSJ3	
CD2BP2-DT	
CD79A	11754069_a_at
CD79A	11741089_x_at
CD79A	11719716_a_at
HTR3C	11741929_at
TMEM231P1	11751480_a_at
TMEM231P1	
HTR3C2P	
	11731915_a_at
HTR3E-AS1	
HTR3E	11752389_a_at
HTR3E	11745683_a_at
HTR3E	11738477_a_at
HTR3E	11738478_x_at
BCL2L12	11717364_a_at
BCL2L12	
AGAP2	11737020_x_at
AGAP2	11737018_a_at
AGAP2	11737019_s_at
AGAP2	
RNA5SP350	
LINC02550	
RPS17P15	
C11orf53	11734379_at
C11orf53	
COLCA1	11731803_a_at
COLCA1	11758474_s_at
PSMC5	11756554_x_at
PSMC5	
COLCA2	11741221_a_at
RPS2P39	
ABCC6P1	11725890_s_at
ABCC6P1	11751125_a_at
ABCC6P1	11751126_s_at
MIR26A2	11756729_a_at
DDX10	
DDX10	11723101_a_at
BICDL1	11751410_a_at
BICDL1	11751411_x_at
BICDL1	11748226_a_at
BICDL1	11721770_x_at
BICDL1	
HSP90AA5P	11762927_at
EIF2B5-DT	
ABCF3	
ABCF3	11746960_x_at
ABCF3	11746959_a_at
ABCF3	11716612_a_at
ABCF3	11756361_x_at
SMG1P1	
SMG1P1	11745978_s_at
SMG1P1	11762465_x_at
RAB35	11746338_a_at
RAB35	11753403_x_at
RAB35	11722806_at
RAB35	11753402_a_at
RAB35	11722805_at
LINC01595	
DNASE2	11730733_x_at
DNASE2	11749450_a_at
DNASE2	11730732_at
DNASE2	
RNF26	11739137_at
RNF26	11739139_s_at
RNF26	11739138_at
C1QTNF5	11735346_s_at
C1QTNF5	11735345_at
GCN1	11717360_s_at
GCN1	
MFRP	11735345_at
MFRP	11735346_s_at
MFRP	11755879_a_at
MFRP	
MIR7974	
RN7SL833P	
ELOF1	
ELOF1	11721400_a_at
TCAM1P	
RRN3P1	11761340_x_at
RRN3P1	11755042_s_at
RRN3P1	11746373_s_at
CSH2	11742653_x_at
CSH2	11742406_x_at
CSH2	11742994_x_at
CSH2	11734709_x_at
CSH2	11740165_x_at
CSH2	11745920_x_at
USP2	11724045_a_at
USP2	11724044_a_at
USP2	11740198_a_at
USP2	
LINC02185	
ARHGEF1	
ARHGEF1	11743009_x_at
ARHGEF1	11744761_x_at
ARHGEF1	11755433_x_at
ARHGEF1	11743008_a_at
FOXC2-AS1	
LINC01569	
LINC01572	
GH2	11736579_a_at
GH2	11728434_a_at
GH2	11715337_s_at
SETD5	
SETD5	11716802_a_at
SETD5	11716801_at
LINC02192	
SMG1P3	
SMG1P3	11745978_s_at
SMG1P3	11762465_x_at
MIR4498	
THY1	11715541_a_at
THY1	11715542_s_at
RPLP0	11757772_x_at
RPLP0	
ZNF385C	11759660_at
ZNF385C	
ATP2A1-AS1	
CRNDE	
CRNDE	11764175_at
CRNDE	11745361_a_at
SMARCD2	11742080_a_at
SMARCD2	11717063_s_at
SMARCD2	11747710_a_at
SMARCD2	
THY1-AS1	
DUXAP5	
CCDC153	11732954_at
CCDC153	
MYEOV	
MYEOV	11747656_a_at
MYEOV	11755024_a_at
USP40	11740135_s_at
USP40	
IFITM9P	
LINC02956	
LINC02952	
LINC01488	
CCND1	11721255_at
CCND1	11751330_a_at
CCND1	11721256_a_at
CCND1	11721257_at
CCND1	
SNAI3-AS1	
LINC02195	
MAFTRR	
LTO1	11759993_at
LTO1	11751847_x_at
LTO1	11751846_a_at
LTO1	11724307_x_at
LTO1	
TBC1D3G	11757087_x_at
MMP25-AS1	
NEB	11748079_a_at
NEB	11755294_x_at
NEB	11725125_a_at
NEB	
RUSF1-DT	
ZFHX3-AS1	
TBC1D3H	11757087_x_at
LRRC29	11731278_at
LRRC29	11761477_at
FGF19	11731165_at
RNU6-1192P	
TBC1D3F	11757087_x_at
DNAJB6P5	
FGF4	11737740_a_at
FGF4	11753622_a_at
TBC1D3JP	11757087_x_at
TBC1D3JP	11755150_x_at
SETP16	
CXCR5	11726966_a_at
CXCR5	11733116_a_at
MT1DP	11761961_s_at
MT1DP	11763943_at
NUP93-DT	
BCL9L	11723073_at
BCL9L	11723075_a_at
BCL9L	11723074_x_at
BCL9L	11723076_x_at
BCL9L	
DNAJA2-DT	
PXN	11752827_a_at
PXN	11749054_x_at
PXN	11748796_a_at
PXN	11717618_s_at
PXN	11736017_s_at
PXN	11736018_x_at
PXN	11752828_x_at
PXN	11717617_a_at
PXN	
ERVK13-1	
MIR4492	
UPK2	11741464_at
RN7SL688P	
SDHDP6	11758311_s_at
SDHDP6	11758190_s_at
SDHDP6	11758248_s_at
SDHDP6	11758329_s_at
SDHDP6	11758330_x_at
TMEM50A	11716634_a_at
TMEM50A	11716633_a_at
TMEM50A	11756467_x_at
TMEM50A	11716635_x_at
RNA5SP439	
MPHOSPH10P1	
MT1L	
	11749222_s_at
HMBS	
HMBS	11720884_a_at
	11758329_s_at
	11758330_x_at
LCMT1-AS1	
MACO1	11744587_a_at
MACO1	11726747_at
MACO1	11726748_at
MACO1	
YPEL3-DT	
CES1P1	11750759_at
RPSAP31	
MIR4448	
CYP2AB1P	
ABCC5	11727314_a_at
ABCC5	11744397_a_at
ABCC5	11751955_a_at
ABCC5	
ABCC5	11730509_s_at
C16orf95-DT	
ZNF778-DT	
CDIPTOSP	
TSEN15	11720556_x_at
TSEN15	11720555_a_at
TSEN15	11739912_a_at
TSEN15	
SNHG9	11763697_s_at
SNHG9	11763891_x_at
MBTPS1-DT	
SNHG19	
ZNF213-AS1	
LRRC71	11754864_a_at
COG4	11754384_x_at
COG4	11717141_x_at
COG4	11747236_x_at
COG4	11717140_a_at
COG4	
MIR765	11748608_s_at
MIR765	11722549_a_at
RN7SL612P	
NTRK1	
NTRK1	11741674_a_at
RPS20P31	
NME2P1	
RNU4-2	
RNU4-1	
HTR1DP1	
LINC00942	
WNT5B	11719442_a_at
WNT5B	11750473_a_at
WNT5B	
WNT5B	11719441_a_at
CRX	
CRX	11728382_s_at
CRX	11728381_at
FBXL14	11732549_at
FBXL14	
ERC1	
ERC1	11741411_a_at
ERC1	11755365_a_at
ERC1	11731786_a_at
ERC1	11731787_x_at
ERC1	11741410_a_at
ERC1	11737111_a_at
TPRX1	11740667_at
FCHO1	11725194_a_at
FCHO1	
MOGS	11747419_a_at
MOGS	11717954_s_at
TP53	11750514_x_at
TP53	11748319_x_at
TP53	11751537_x_at
TP53	11751536_a_at
TP53	11738335_x_at
TP53	11748599_a_at
TP53	11761143_x_at
TP53	11761142_at
TP53	11761465_at
FMN2	
FMN2	11726142_a_at
FMN2	11726141_at
FMN2	11745671_a_at
FMN2	11760076_at
ABCC5-AS1	
EEF1A1P8	
HTR3D	11742136_a_at
IL1R2	
IL1R2	11728500_a_at
CLEC16A	11755067_a_at
CLEC16A	11759639_at
CLEC16A	11759640_x_at
CLEC16A	
DVL3	11721506_a_at
DVL3	11721507_at
DVL3	11721508_at
DVL3	11748468_a_at
DVL3	
BHLHE41	11744740_a_at
BHLHE41	11746930_a_at
BHLHE41	11758031_s_at
RASSF8	11747702_a_at
RASSF8	11760431_a_at
RASSF8	11759578_s_at
RASSF8	11760503_a_at
RASSF8	11746618_a_at
RASSF8	11737046_at
RASSF8	
GREM2	11730386_at
GREM2	11730385_at
GREM2	11730384_at
WDR12	11744275_a_at
WDR12	11746789_x_at
WDR12	11760594_at
WDR12	
RNU5F-8P	
AP2M1	11749846_x_at
AP2M1	11747195_x_at
AP2M1	11746645_x_at
AP2M1	11724231_s_at
AP2M1	11760517_at
MUC19	
PSMA2P3	
DAZAP2P1	
SUMO1	11746828_x_at
SUMO1	11740939_x_at
SUMO1	11763232_x_at
SUMO1	11753479_x_at
SUMO1	11724205_x_at
SUMO1	11744193_x_at
AVIL	11738150_a_at
AVIL	
SLC22A25	11755651_a_at
SLC22A25	11759997_a_at
CELF1	11738155_a_at
CELF1	11736054_a_at
CELF1	11763403_a_at
CELF1	
ADAMTSL4	11748060_a_at
ADAMTSL4	11755688_a_at
ADAMTSL4	11735874_x_at
ADAMTSL4	
RNU6-700P	
GOT2P3	
CLEC2D	11730322_a_at
CLEC2D	
CLEC2D	11731702_a_at
CLEC2D	11747597_x_at
CLEC2D	11730321_a_at
CLEC2D	200063_PM_s_at
TERC	
ACTRT3	11730502_at
RPL39P14	
NOP58	11747090_a_at
NOP58	11744098_at
NOP58	
MYNN	11729192_a_at
MYNN	11729193_s_at
MYNN	11729194_s_at
MYNN	11749019_a_at
LRRC34	11733607_a_at
LRRC34	11756315_a_at
LRRC34	11733608_x_at
LRRC34	
PTP4A2	11743268_a_at
PTP4A2	11759480_s_at
PTP4A2	11757440_x_at
PTP4A2	11742465_x_at
PTP4A2	11759479_s_at
PTP4A2	
NPM1P7	200063_PM_s_at
LINC02390	
CD69	11723679_s_at
CD69	11748146_at
CD69	11747595_at
SNORD70	
SNORD70B	
SNORD11B	
SNORD11	
RN7SL753P	
PIMREGP1	
RN7SL40P	
BMPR2	11756105_a_at
BMPR2	11728700_a_at
BMPR2	11728699_at
BMPR2	
SMIM38	
MS4A1	
MS4A1	11739279_a_at
MS4A1	11728269_a_at
MS4A1	11755858_a_at
GCNAP1	
LRRC31	11738136_x_at
LRRC31	11738135_a_at
LRRC31	11747003_x_at
LRRC31	
KLRF1	11740669_x_at
KLRF1	11740668_a_at
KLRF1	11753219_a_at
KLRF1	11745699_a_at
FNBP1L	11748613_a_at
FNBP1L	11747875_a_at
FNBP1L	11737831_a_at
FNBP1L	11717552_s_at
