hgnc_symbol	affy_primeview
NAA50P1	
OSCAR	11730943_x_at
OSCAR	11730942_s_at
OR8U8	11742376_at
OR8L1P	
OR5T3	11742522_at
OR5T3	11742523_s_at
OR5T2	11742307_s_at
OR5T2	11738688_s_at
OR5T2	11759386_x_at
OR5T2	11742523_s_at
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	11742594_at
OR8H1	11738743_at
OR5T1	11738689_x_at
OR5T1	11742307_s_at
OR5T1	11738687_at
OR5T1	11738688_s_at
OR5T1	11742523_s_at
RPL5P29	
OR8K1	11742341_at
OR8J1	11738707_at
SMN1	11762978_x_at
SMN1	11722657_x_at
SMN1	11719500_s_at
SMN1	
TFPT	11719846_a_at
OR2J3	11738613_at
HLA-H	
MICB	11750723_x_at
MICB	11733273_a_at
MICB	11749538_a_at
MICB	11749539_x_at
LINC02197	
DEFB104B	11733770_s_at
AGK	11739124_a_at
AGK	11739123_at
SERF1A	11757668_s_at
SERF1A	11728888_s_at
SERF1A	11753580_s_at
SERF1A	11728889_s_at
SERF1A	
DEFB105B	11741905_at
PRPF31	11719467_s_at
PRPF31	11719468_a_at
PRPF31	11719469_x_at
PRR23D1	
WEE2	11735540_at
WEE2	
DEFB4B	11738511_at
FAM90A7	
LILRB1	11732265_at
LILRB1	11749432_a_at
LILRB1	11728267_s_at
LILRB1	11732266_x_at
DEFB103B	11735940_s_at
DEFB103B	11715311_s_at
	11718566_s_at
	11735935_s_at
	11751379_s_at
DEFB108C	11743207_s_at
DEFB108C	11755751_s_at
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	11750499_s_at
ZNF705G	11737730_s_at
NDUFA3	11753843_a_at
NDUFA3	11753844_x_at
NDUFA3	11723467_a_at
HCN3	11747447_a_at
HCN3	11733429_s_at
HCN3	11751784_a_at
DEFB107B	11738604_at
OR2U2P	
TRIM10	11758611_s_at
TRIM10	11734344_a_at
TRIM10	11728613_a_at
TRIM10	11734345_a_at
FAM90A6P	
SPAG11B	
SPAG11B	11738940_s_at
SPAG11B	11733514_s_at
SPAG11B	11742008_at
SCT	11742661_at
FAM189B	11721562_a_at
FAM189B	
PTDSS2	
PTDSS2	11722246_x_at
PTDSS2	11722245_a_at
DEFB106B	11735896_s_at
MICG	
RNF39	11731326_a_at
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
MUC21	11736252_a_at
MUC21	11736251_at
MUC21	11752542_a_at
HCG15	
TRIM31-AS1	
TNF	11721577_at
OR11A1	11741975_at
OR11A1	11741976_at
LINC03015	
PRAMEF5	11738420_s_at
PRAMEF5	11735901_s_at
FAM20C	
MOG	11749854_a_at
MOG	11735993_x_at
MOG	11747169_a_at
MOG	11746763_x_at
MOG	11755750_x_at
MOG	
LINC03014	
	11758708_s_at
PRAMEF22	11738420_s_at
PRAMEF22	11735901_s_at
PRAMEF18	11742486_s_at
BTG3-AS1	
BTG3	
	11751341_s_at
PRAMEF8	11742267_s_at
PRAMEF8	11715299_s_at
LILRA5	11738698_x_at
LILRA5	11738903_a_at
LILRA5	11742375_a_at
MBOAT7	
MBOAT7	11730613_at
HNRNPCL2	11734649_x_at
RPS17P1	
OR5V1	11741863_at
PRAMEF25	11738420_s_at
PRAMEF25	11735901_s_at
MICD	
OR2G1P	
WASF5P	
PTMAP1	
HLA-V	
HLA-V	11759857_at
HNRNPCL4	11715261_s_at
PRAMEF33	11742485_s_at
PRAMEF9	11738420_s_at
PRAMEF9	11735901_s_at
LY6G6F	11738501_at
MYL6P5	
TMEM183AP1	
PSORS1C1	
PSORS1C1	11744758_a_at
PSORS1C1	11751849_a_at
NCR1	11759971_at
HLA-T	
HLA-DRA	11742850_x_at
HLA-DRA	11750527_s_at
HLA-DRA	11744484_s_at
PPP1R11	11715601_a_at
PPP1R11	11715600_a_at
BTNL2	11742139_a_at
	11717024_at
TOMM40P4	
CDRT15P3	11730136_x_at
CDRT15P3	11738661_x_at
	11730136_x_at
	11738661_x_at
RPL7P4	
RPL7AP7	
LTB	11739658_a_at
LTB	11739657_a_at
NDUFA3	11761806_a_at
CEACAM4	11750522_a_at
CEACAM4	11750523_x_at
CEACAM4	11737525_at
CEACAM4	11737526_x_at
LINC01556	
TMPOP1	
PSMB9	11726677_a_at
PSMB9	11761758_at
CEACAMP3	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	11753314_a_at
CEACAM21	11732867_a_at
CEACAM21	11754745_x_at
CEACAM21	
LILRA3	11730656_a_at
LILRA3	
GOLGA6L24P	11748748_x_at
FAM189A1	11728585_at
FAM189A1	11728586_a_at
FAM189A1	
ATP23	11745383_a_at
ATP23	11743376_at
GABBR1	11721552_a_at
GABBR1	11730725_a_at
GABBR1	11721553_a_at
GABBR1	
GABBR1	11723069_at
DNAJC19P3	
TPM3P5	
RNA5-8SN4	
LINC01480	
CEACAM7	
CEACAM7	11751355_a_at
CEACAM7	11728727_at
PTPRN2	
	11746708_at
MPHOSPH10P7	
IFITM4P	
LINC02403	
APBA2	
APBA2	11727629_at
APBA2	11727631_s_at
APBA2	11727630_s_at
GIHCG	
RN7SKP65	
LILRB2	11728265_a_at
LILRB2	11728267_s_at
LILRB2	11728266_a_at
LILRB2	
HLA-G	11753444_x_at
HLA-G	11760406_x_at
HLA-G	11743185_x_at
HLA-G	11762259_x_at
HLA-G	11753602_x_at
HLA-G	
KIR3DX1	11755725_a_at
LILRA6	
ZFP57	11745584_a_at
OR2H5P	
OR5V1	
GPR53P	
OR2J2	11732982_at
HLA-DRB9	
MSH5-SAPCD1	11721721_a_at
MSH5-SAPCD1	11756458_a_at
MSH5-SAPCD1	11721722_x_at
MSH5-SAPCD1	11752185_a_at
PHLDA2	11744005_at
CARS1	11737758_x_at
CARS1	11737757_a_at
CARS1	11716294_a_at
CARS1	
FAM138D	11746941_s_at
IQSEC3	11743224_a_at
IQSEC3	
CTSO	11743321_at
CTSO	11751798_a_at
HERC2	11743778_a_at
HERC2	11743779_at
HERC2	
MROH5	11735598_a_at
SPPL2C	11729065_at
ASIC5	
RPS7P11	11717235_s_at
RPS7P11	200082_PM_s_at
RPS7P11	11717236_x_at
TDO2	
TDO2	11755822_a_at
MAS1LP1	
LINC01300	
HCG4	
DDX11L8	
SUMO2P1	11753750_x_at
MDC1-AS1	
ZNRD1ASP	
ZNRD1ASP	11763417_a_at
HNRNPA1P38	
PTP4A3	11729282_x_at
PTP4A3	11729281_s_at
PTP4A3	
SLC39A11	11718459_a_at
KANSL1-AS1	
WHAMMP2	11758086_s_at
WHAMMP2	11754249_at
IQSEC3-AS1	
MAPK8IP1P2	
WASH8P	11747198_x_at
WASH8P	11747258_x_at
NSFP1	
RPL32P1	
OR2J1	
SLC5A8	11733984_at
SLC5A8	11733985_at
SLC5A8	11759121_at
WNT3	11736767_at
WNT3	11759217_at
WNT3	
ABCB10P3	
DDX39BP1	
HCG4P8	
	11752162_at
GOLGA8G	11745490_s_at
GOLGA8G	11745489_s_at
GOLGA8G	11745491_s_at
GOLGA8G	11747780_x_at
GOLGA8G	11735612_s_at
DHX16	
DHX16	11736031_at
GPR20	11740599_at
DLGAP2	11763515_a_at
DLGAP2	11734289_at
DLGAP2	11734290_at
DND1P1	
ANO4	11746082_a_at
ANO4	11728394_a_at
ARHGAP27	11747683_a_at
ARHGAP27	11719743_a_at
ARHGAP27	11719745_s_at
ARHGAP27	11719744_at
ARHGAP27	11760997_at
ARHGAP27	
ARHGAP27	11733534_x_at
APOM	11721166_a_at
MAMDC2-AS1	
MAMDC2	
HLA-K	
HSPA1B	11744413_x_at
HSPA1B	11750411_x_at
HSPA1B	11729120_x_at
HSPA1B	11729119_a_at
HERC2P1	
HSP90AA4P	11749934_s_at
HSP90AA4P	11761734_x_at
OCA2	
C4B_2	11754270_a_at
C4B_2	11734747_a_at
C4B_2	11749926_a_at
C4B_2	
RPH3AL-AS2	
RPH3AL-AS1	
RPH3AL	
RPL5P32	
PDCD6IPP2	
ABCB10P4	
GOLGA8M	
NSMCE3	11758131_s_at
HERC2P9	11749565_s_at
HERC2P9	11746294_s_at
HERC2P9	
KIR2DL1	
RPL41P2	11757355_x_at
GOLGA6L25P	
	11749396_s_at
GOLGA8F	11745490_s_at
GOLGA8F	11745489_s_at
GOLGA8F	11745491_s_at
GOLGA8F	11747780_x_at
GOLGA8F	11735612_s_at
OR2U1P	
KIR2DS4	
LINC00533	
MUC2	11722941_at
MUC2	
MAPT-IT1	
CHRFAM7A	11750964_s_at
CHRFAM7A	11740008_s_at
CHRFAM7A	11740009_a_at
