hgnc_symbol	agilent_cgh_44b
TRBJ2-3	
CCL4	
OR6D1P	
TRBV7-5	
TRBJ2-5	
LINC01238	
ANKRD30BP3	
TRBV5-6	
OR13A1	
TRBV12-2	
	A_14_P134900
TRBV6-4	
ALOX5	A_14_P104436
ALOX5	
TRBJ1-2	
TRBD1	
SERPINF2	
SERPINF2	A_14_P118186
TRBJ2-4	
TRBV6-2	
PVALB	
TRBV30	
RN7SL301P	
TRBV12-3	
RPL13AP	
TRBV3-1	
TRBV8-2	
WBP1LP1	
GNL1	
TRBV6-8	
TRBV29-1	
TRBV6-6	
TRBV15	
KEL	
CDC42EP5	
HLA-DQB3	
TAP1	
CES1	
LRRC37A	
ZC3H3	
PYCR3	
RN7SL105P	
RPL15P4	
TRIM26	
VWA7	
LRRC37A3	
EGFL8	
TAMM41	
EEF1D	
RNU6-1207P	
TNXB	
OR2H1	
TRIM15	
DDT	
PATL2	
TRIM69	A_14_P104910
TRIM69	
MARK2P14	
NUP210P2	
LTA	A_14_P200177
DDR1	
DDR1	A_14_P106477
HCG4B	
HCG27	
RPS26P8	
KIF5C	A_14_P103420
KIF5C	A_14_P201169
KIF5C	
OR12D1	
NRM	
POMZP3	
GSTT1	
LILRA1	
TC2N	
ABR-AS1	
TRARG1	
PPT2	
YWHAE	
UPK3B	A_14_P128873
UPK3B	
MIF-AS1	
GSTT3P	
GSTT2	
LINC00685	
FABP5P13	
KRT18P53	
PPP2R3B	
SORD2P	
SPDYE16	
B2M	A_14_P126371
B2M	A_14_P108160
B2M	A_14_P105156
B2M	
CHCHD10	
ABHD16A	
DTX2	
GSTT4	
DDTL	A_14_P138267
DDTL	A_14_P112167
LINC00588	A_14_P117807
MMP11	A_14_P105753
MMP11	
LINC01606	
HCG9P5	
IGHA2	
MDC1	
MCCD1	
FLOT1	
IGHD4-17	
ZNF251	
IGHEP1	
MAP3K14	
IGHG3	
UBQLN1P1	
UQCRHP1	
OR10C1	
IGHJ5	
HLA-DQB2	
ATP6V1G1P1	
IGHD1-26	
CATSPERB	
IGHD7-27	
IGHV3-11	
	A_14_P128873
LINC03009	
IGHD3-3	
IGHD3-22	
IGHD6-19	
DDX39B-AS1	
IGHJ1	
IGHJ2	
MRPS16P3	
RPL3P2	
IGHV3-20	
GSTT2B	
IGHE	
APOL5	
HLA-A	
IGHV1-24	
PPP1R18	
IGHJ3P	
FAM30A	A_14_P135714
