hgnc_symbol	affy_u133_x3p
TUBGCP5	Hs.31476.0.S1_3p_at
TUBGCP5	Hs.31476.1.S1_3p_at
	Hs.269812.0.S1_3p_at
CTDP1	
DECR2	g10190703_3p_a_at
DECR2	
MREGP1	
	Hs.110080.0.S1_3p_s_at
AP2A2	
AP2A2	Hs.19121.1.S1_3p_at
AP2A2	g13544040_3p_s_at
AP2A2	215764_3p_x_at
AP2A2	212161_3p_at
AP2A2	Hs.19121.1.S1_3p_a_at
AP2A2	Hs.19121.0.S2_3p_a_at
AP2A2	Hs.19121.0.S2_3p_at
AP2A2	Hs.19121.0.S2_3p_x_at
SNTB2	
RPL4P5	Hs.286.4.A1_3p_s_at
RPL4P5	200089_s_at
PHRF1	Hs.130541.1.S1_3p_a_at
PHRF1	
UTP4	
UTP4	Hs.151001.1.S1_3p_a_at
SINHCAF	Hs.180780.1.S1_3p_a_at
SINHCAF	g10864048_3p_a_at
SINHCAF	
MAD2L1-DT	
GART	Hs.113631.0.A1_3p_at
GART	Hs.82285.1.S1_3p_at
GART	
GART	Hs.82285.1.S2_3p_at
ABR	Hs.118021.2.A1_3p_a_at
ABR	Hs.87595.2.A1_3p_at
ABR	Hs.118021.3.A1_3p_a_at
ABR	
MEGF11	
MEGF11	Hs2.248367.3.S1_3p_s_at
RPS5P3	
DNAJC28	g8923432_3p_at
UGT2A3	g13376065_3p_s_at
UGT2A3	g13376065_3p_x_at
UGT2A3	219948_3p_x_at
UGT2A3	g13376065_3p_at
	211942_3p_x_at
	g13376172_3p_at
B3GNTL1	Hs.91375.0.S1_3p_a_at
B3GNTL1	
IFNGR2	
IFNGR2	g5031782_3p_at
MUC6	1565666_3p_s_at
MUC6	Hs2.398100.1.S1_3p_s_at
MUC6	Hs.159593.0.S1_3p_at
MUC6	
UGT2B27P	
MUC20-OT1	
MUC20-OT1	Hs.299416.0.A1_3p_at
MUC20-OT1	Hs.69321.0.A1_3p_x_at
MUC20-OT1	1557293_3p_at
MUC20-OT1	Hs2.337635.1.S1_3p_x_at
MUC20-OT1	Hs.469.2.S1_3p_at
MUC20-OT1	Hs.469.2.S1_3p_s_at
MUC20-OT1	Hs.469.2.S1_3p_x_at
MUC20-OT1	222021_3p_x_at
MUC20-OT1	Hs.469.1.S1_3p_at
CDH12P2	
PMCHL2	g13625538_3p_x_at
PMCHL2	224418_3p_x_at
PMCHL2	g13625534_3p_at
PMCHL2	Hs.247975.0.S1_3p_s_at
PMCHL2	g13625538_3p_at
PMCHL2	g13625536_3p_s_at
PMCHL2	224421_3p_x_at
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	211531_3p_x_at
PRB1	g4826937_3p_s_at
PRB1	g190503_3p_s_at
PRB1	207752_3p_x_at
PRB1	210597_3p_x_at
PRB1	g190505_3p_s_at
RAB11FIP3	Hs.119004.2.A1_3p_a_at
RAB11FIP3	Hs.119004.2.A1_3p_x_at
RAB11FIP3	g7662233_3p_at
RAB11FIP3	
GTF2H2	221540_3p_x_at
GTF2H2	Hs.173611.1.S1_3p_at
GTF2H2	g5531808_3p_at
GTF2H2	
GTF2H2	g13529148_3p_at
RNU6-1025P	
UGT2B15	
SDHAP2	Hs.469.2.S1_3p_s_at
SDHAP2	Hs.469.2.S1_3p_at
SDHAP2	Hs.469.2.S1_3p_x_at
SDHAP2	222021_3p_x_at
KRTAP5-6	g10567823_3p_s_at
KRTAP5-1	
KRTAP5-4	g10567823_3p_s_at
KRTAP5-5	g10567823_3p_s_at
MT2P1	
FAM99A	Hs.117797.0.A1_3p_at
DIS3L-AS1	
TMPRSS11E	g7661557_3p_at
TMPRSS11E	
LINC02708	Hs.172905.0.A1_3p_at
KRTAP5-AS1	
KRTAP5-AS1	Hs2.334259.1.S1_3p_at
TMEM50B	Hs.9042.2.A1_3p_at
TMEM50B	Hs.9042.0.A1_3p_at
TMEM50B	g8659558_3p_a_at
TMEM50B	
NDUFA6	g12803858_3p_at
NDUFA6	g4505358_3p_a_at
	Hs.172905.0.A1_3p_at
DUSP8	Hs.107448.0.A1_3p_x_at
DUSP8	g4758211_3p_at
DUSP8	
GNG5P1	
	Hs2.434349.1.S1_3p_at
TCF20	Hs.201668.0.S1_3p_x_at
TCF20	Hs.201668.0.S1_3p_at
TCF20	
FAM99B	Hs.117797.0.A1_3p_at
IFITM10	Hs.121575.0.S2_3p_at
IFITM10	227863_3p_at
IFITM10	Hs.121575.0.S1_3p_at
IFITM10	Hs.121575.0.S1_3p_x_at
KRTAP5-3	g10567823_3p_at
KRTAP5-3	g10567823_3p_x_at
KRTAP5-3	g10567823_3p_s_at
KRTAP5-2	
SMDT1	Hs.306083.0.S1_3p_a_at
SMDT1	Hs.218619.0.A1_3p_at
YTHDC1	Hs.12797.3.S1_3p_at
YTHDC1	Hs.159286.0.A1_3p_at
YTHDC1	Hs.331938.0.S1_3p_at
YTHDC1	Hs.159286.0.A1_3p_x_at
YTHDC1	
LINC00235	
CAPN15	
NDUFA6-DT	Hs.218619.0.A1_3p_at
NDUFA6-DT	
OLA1P1	
	Hs.274598.1.S1_3p_at
CYP2D7	207498_3p_s_at
CYP2D7	
LINC02982	
NKD2	Hs.240951.0.S1_3p_at
NKD2	
CSPG4P10	
GOLGA6L9	
GOLGA6L9	213212_3p_x_at
GOLGA6L9	Hs.182982.2.S1_3p_at
GOLGA6L17P	
	g4506692_3p_a_at
	g4506692_3p_s_at
	Hs.5174.2.S1_3p_x_at
	Hs.5174.2.S1_3p_s_at
	g13436139_3p_s_at
CYP2D8P	
GOLGA2P10	
SLC12A7	g5730042_3p_at
SLC12A7	
LMNTD2	Hs.196014.0.A1_3p_at
LMNTD2	
UBE2Q2P6	
TIMM22	Hs.87595.1.A1_3p_a_at
TIMM22	Hs.87595.0.S1_3p_a_at
TIMM22	g7019552_3p_a_at
ADAMTS7P1	Hs.16441.0.S1_3p_at
ADAMTS7P1	
NXN	
MUC4	
MUC4	Hs2.352652.1.S1_3p_at
GOLGA6L10	
MIR210HG	Hs.218710.0.S1_3p_at
MIR210HG	Hs.154077.0.A1_3p_at
	Hs.311109.0.A1_3p_x_at
	Hs.311109.0.A1_3p_at
LINC00824	
LINC00824	Hs2Affx.1.374.S1_3p_x_at
LINC00824	1555580_3p_at
GOLGA6L10	Hs.182982.2.S1_3p_at
RNH1	g4506564_3p_a_at
RNH1	
RNH1	216798_3p_at
UBE2Q2P2	
	200032_s_at
	g4506664_3p_a_at
	Hs2.434544.1.S1_3p_at
MUC20	
MUC20	Hs.69321.0.A1_3p_x_at
MUC20	Hs.299416.0.A1_3p_at
KIF26B	Hs2.434133.1.S1_3p_at
KIF26B	Hs.143134.0.A1_3p_at
KIF26B	g8922260_3p_at
KIF26B	
RPL7AP55	
OR10A3	Hs2.381322.1.S1_3p_at
OR5P2	Hs2.351824.1.S1_3p_at
OR5P2	Hs2.351824.1.S1_3p_s_at
OR5P2	1552991_3p_at
OR5E1P	Hs2.382973.1.S1_3p_at
OR5P3	Hs2.351824.1.S1_3p_s_at
OR5P3	Hs2.351825.1.S1_3p_at
OR10A6	
NLRP10	Hs2Affx.1.19.S1_3p_x_at
NLRP10	Hs2Affx.1.19.S1_3p_at
NLRP10	
SERF1B	g3641541_3p_at
SERF1B	
SERF1B	g13027631_3p_s_at
TARM1	
CYP2D6	207498_3p_s_at
CYP2D6	g4503222_3p_s_at
	Hs2.398144.1.S1_3p_x_at
	Hs2.398144.1.S1_3p_at
MBOAT7	g13111982_3p_a_at
NAIP	Hs.79019.0.S1_3p_a_at
NAIP	g4758751_3p_a_at
NAIP	
KIR2DL3	
CNOT3	g6856204_3p_a_at
CNOT3	g6856204_3p_x_at
CNOT3	g7657386_3p_x_at
CNOT3	g7657386_3p_at
CNOT3	203239_3p_s_at
CNOT3	g7657386_3p_a_at
KIR2DS1	
DRD4	g4503388_3p_x_at
DRD4	g4503388_3p_at
DEAF1	g3293439_3p_a_at
DEAF1	
	g12804906_3p_a_at
CLK2	g4502882_3p_a_at
CLK2	
OR2AS2P	
OR2T6	
OR2T2	
	207498_3p_s_at
	g4503222_3p_s_at
OR2T4	
RDH13	Hs.178617.0.S2_3p_a_at
RDH13	Hs.178617.0.S1_3p_at
IRF7	g4809285_3p_s_at
IRF7	
OR2T7	
OR2T1	
BDH1	Hs.150169.0.A1_3p_at
BDH1	g13543366_3p_s_at
BDH1	
BDH1	Hs2.434245.1.S1_3p_at
OR2T3	
TSEN34	g13129061_3p_a_at
TSEN34	
OR2T5	
TMEM179	
VSTM1	Hs.133355.0.A1_3p_at
VSTM1	
OR2W1	g13624328_3p_s_at
NOP56P1	
OR14J1	Hs.272281.0.S1_3p_at
TRIM27	Hs.142653.1.S2_3p_at
TRIM27	g12275875_3p_a_at
TRIM27	
GP6	g9955913_3p_a_at
C14orf180	Hs2.153827.1.S1_3p_s_at
C14orf180	1558420_3p_at
C14orf180	Hs2.153827.1.S1_3p_at
MCCC2	
NCR1	Hs.97084.1.S1_3p_a_at
NCR1	g4758691_3p_at
PKLR	Hs.284171.0.A1_3p_at
PKLR	g10835120_3p_a_at
PKLR	g189995_3p_at
PKLR	
NLRP2	g10198206_3p_a_at
LILRA4	g13324689_3p_s_at
	Hs.112184.1.A1_3p_x_at
	Hs.112184.1.A1_3p_at
HCG14	
HRAS	Hs.37003.0.S1_3p_x_at
HRAS	Hs.37003.0.S1_3p_at
HRAS	
RPL13P	
ZNF311	Hs.148218.0.A1_3p_a_at
BDP1	g11096172_3p_a_at
BDP1	Hs.272808.1.A1_3p_at
BDP1	Hs.272808.2.A1_3p_a_at
BDP1	g11096172_3p_x_at
BDP1	
PSMB1	
	1557709_3p_at
	Hs.131181.0.A1_3p_at
FAM120B	Hs.2055.1.A1_3p_at
FAM120B	Hs.46833.0.A1_3p_at
FAM120B	
LENG1	Hs.172407.0.S1_3p_at
LINC01623	
ICE2P1	
LINC01060	
LINC01015	Hs.99161.0.A1_3p_at
OR2B3	Hs.247759.0.S1_3p_at
	Hs2.207528.1.S1_3p_s_at
LAIR1	g6563041_3p_a_at
LAIR1	g11231178_3p_a_at
LAIR1	
MTX1P1	g12804906_3p_a_at
RPL7AP27	
SCAMP3	g5032076_3p_at
SCAMP3	
LST1	
LST1	g2145063_3p_at
DENND11	Hs.12461.0.A1_3p_at
DENND11	g7959912_3p_s_at
DENND11	223162_3p_s_at
DENND11	Hs.260238.1.A1_3p_at
DENND11	g7959912_3p_a_at
LMNTD2-AS1	Hs2.128454.1.S1_3p_s_at
	Hs2.356020.1.A1_3p_s_at
RASSF7	204927_3p_at
RASSF7	g4502482_3p_at
RASSF7	g4502482_3p_s_at
RASSF7	
NLRP7	Hs.312716.0.A1_3p_at
	Hs2.17589.1.S1_3p_s_at
RPS9	g4506744_3p_x_at
RPS9	g4506744_3p_at
RPS9	217747_3p_s_at
RPS9	214317_3p_x_at
PCGF7P	
ZNF729	
	g183021_3p_a_at
ZNF676	
GBA	g496370_3p_a_at
GBA	g183021_3p_a_at
GBA	
	Hs2.382160.1.S1_3p_at
