hgnc_symbol	affy_hta_2_0
	TC06003561.hg
	TC6_qbl_hap6000104.hg
	TC6_mcf_hap5000096.hg
	TC6_apd_hap1000051.hg
ZNF311	TC6_mann_hap4000094.hg
ZNF311	TC06001479.hg
ZNF311	TC6_dbb_hap3000104.hg
ZNF311	TC6_qbl_hap6000107.hg
ZNF311	TC6_ssto_hap7000098.hg
ZNF311	TC6_cox_hap2000116.hg
ZNF311	TC6_apd_hap1000054.hg
BDP1	TC05000333.hg
BDP1	
PSMB1	
	TC06003240.hg
FAM120B	TC06001199.hg
FAM120B	TC06003239.hg
FAM120B	
	TC03002177.hg
	TC03003304.hg
	TC03002766.hg
	TC03001107.hg
