hgnc_symbol	phalanx_onearray
CLIC1	PH_hs_0019601
CLIC1	
LENG8	PH_hs_0028286
LENG8	
TJP1	PH_hs_0004256
TJP1	
CCL3-AS1	
	PH_hs_0011920
TBC1D3I	PH_hs_0033857
	PH_hs_0007877
TRBV23-1	
PTPRC	
	PH_hs_0018153
LY6G6E	PH_hs_0013123
TRBV5-4	
	PH_hs_0034141
PRSS3P2	
KBTBD11-AS1	
MIF	PH_hs_0019453
KBTBD11	PH_hs_0000547
OR6V1	
HCG21	
MRPS18B	PH_hs_0014163
MRPS18B	PH_hs_0032419
MRPS18B	
OR9P1P	
	PH_hs_0033529
PGBD4P1	
TRBJ1-4	
DOC2B	PH_hs_0028642
DOC2B	
MGAM2	PH_hs_0015745
MGAM2	
HLA-DOB	PH_hs_0000244
HLA-DOB	
LINC03021	
	PH_hs_0019453
ARHGEF10	PH_hs_0025482
ARHGEF10	
DERL3	
DERL3	PH_hs_0031927
ELANE	PH_hs_0005576
LINC02887	PH_hs_0035124
RILP	
CFD	PH_hs_0029251
HLA-DRB3	
OR9A2	
TRBV13	
MIR22HG	PH_hs_0030121
MIR22HG	
TRBV28	
LINC01149	
MCCD1P2	
TRBJ2-2	
SLC2A11	PH_hs_0024414
SLC2A11	
EPHB6	PH_hs_0028282
EPHB6	
CDKN1C	PH_hs_0005906
CCL3L1	
CCL3L3	
CARS1-AS1	
OR12D3	PH_hs_0014045
COX6CP18	
DDX39BP2	
SLC22A18	PH_hs_0003513
SLC22A18	
TBC1D3B	PH_hs_0033857
TSBP1	PH_hs_0003692
ARL17B	PH_hs_0036094
ARL17B	PH_hs_0027501
ARL17B	
PRPF8	PH_hs_0010731
PRPF8	
GP6	
CCL18	
PSORS1C2	PH_hs_0008771
HCP5	PH_hs_0030614
HCP5	PH_hs_0040799
SALL3	PH_hs_0026001
SALL3	
GOLGA8J	PH_hs_0035109
GOLGA8J	PH_hs_0037493
PEBP1P3	
TCF19	PH_hs_0028633
TCF19	
LINC01896	
LINC01896	PH_hs_0009911
GREM1	PH_hs_0028864
ATP9B	
CHRNA7	PH_hs_0040493
	PH_hs_0006734
CES1P1	PH_hs_0027499
CDK7	
CDK7	PH_hs_0027953
NCR3	
NCR3	PH_hs_0026591
CES5A	PH_hs_0016926
CES5A	
FAN1	
PSORS1C3	
BTNL2	
SLC22A18AS	PH_hs_0015454
TBC1D3B	PH_hs_0030493
TBC1D3B	PH_hs_0040700
TBC1D3B	
MAPT	PH_hs_0005629
KCNQ1DN	PH_hs_0007354
NLRP2	PH_hs_0039583
SNORA54	
SAPCD1	PH_hs_0022487
ETF1P1	
HLA-P	
SCG5	PH_hs_0000307
TRBV6-5	
TRBV14	
TRBV12-1	
BRD2	PH_hs_0004295
BRD2	
TRBV4-2	
TRBV5-1	
MTMR10	PH_hs_0035558
MTMR10	
